Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L2_3,-0.00299999999999906,0.0622516966511231,-8.32667268468867E-17,0,0,0,0.0138735795889189,4.32018502506036E-05,1.36690036184446E-20,7.95694628348837E-16,1.49204001297108E-06,5.06013189596864E-21,4.24796588963242E-05,0,0,0,0,0,0,package://newtwo/meshes/L2_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/L2_3.STL,,简化单腿 - 副本-1/简化L5-1,坐标系11,基准轴9,L2_3J,revolute,0.07025,0.216,0,0,0,0,L2_2,1,0,0,100,3,-3,3,,,,,,,,
L2_4,0,5.55111512312578E-17,0,0,0,0,0.0075440111588203,3.02095717120803E-06,-1.82097949959032E-39,-3.28038503767912E-23,3.02095717120803E-06,-9.4039548065783E-38,3.02095717120803E-06,0,0,0,0,0,0,package://newtwo/meshes/L2_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/L2_4.STL,,简化单腿 - 副本-1/qiu1-1,坐标系23,,L2_4J,fixed,-0.003,0.196,0,0,0,0,L2_3,0,0,0,,,,,,,,,,,,
R2_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/R2_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/R2_1.STL,,简化单腿-16/简化L1-1;简化单腿-16/简化L2-2,坐标系12,基准轴10,R2_1J,revolute,0,-0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
R2_2,0.0538046946845857,-0.0563990022332068,1.90730046428778E-06,0,0,0,0.0487708538022155,0.000299889172144509,3.69830518373726E-05,-1.24927529972658E-09,3.8845759766167E-05,1.00173051763647E-08,0.000297413215550289,0,0,0,0,0,0,package://newtwo/meshes/R2_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R2_2.STL,,简化单腿-16/简化L3-4,坐标系13,基准轴11,R2_2J,revolute,0,0,-0.06575,0,0,0,R2_1,1,0,0,100,3,-3,3,,,,,,,,
R2_3,0.00300000000002526,-0.0622516966511241,5.55111512312578E-17,0,0,0,0.0138735795889188,4.32018502506033E-05,2.03581739932966E-20,-7.9568995539102E-16,1.49204001297107E-06,1.42314663326026E-20,4.24796588963239E-05,0,0,0,0,0,0,package://newtwo/meshes/R2_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R2_3.STL,,简化单腿-16/简化L5-1,坐标系14,基准轴12,R2_3J,revolute,0.06425,-0.216,0,0,0,0,R2_2,1,0,0,100,3,-3,3,,,,,,,,
R2_4,0,0,-2.77555756156289E-17,0,0,0,0.0075440111588203,3.02095717120803E-06,2.92667735755095E-49,2.22471489442734E-35,3.02095717120803E-06,-9.4039548065783E-38,3.02095717120803E-06,0,0,0,0,0,0,package://newtwo/meshes/R2_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/R2_4.STL,,简化单腿-16/qiu1-1,坐标系26,,R2_4J,fixed,0.003,-0.196,0,0,0,0,R2_3,0,0,0,,,,,,,,,,,,
L3_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/L3_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/L3_1.STL,,简化单腿 - 副本-2/简化L1-1;简化单腿 - 副本-2/简化L2-2,坐标系15,基准轴13,L3_1J,revolute,-0.1409,0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
L3_2,0.0538046880104125,0.0563989861203904,-1.90297859850586E-06,0,0,0,0.0487708538022157,0.00029988917214451,-3.69830518373724E-05,1.24927529976658E-09,3.88457597661669E-05,1.0017305176145E-08,0.00029741321555029,0,0,0,0,0,0,package://newtwo/meshes/L3_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/L3_2.STL,,简化单腿 - 副本-2/简化L3-4,坐标系16,基准轴14,L3_2J,revolute,0,0,-0.06575,0,0,0,L3_1,1,0,0,100,3,-3,3,,,,,,,,
L3_3,0.00300000000000089,0.0622516966511229,-2.77555756156289E-17,0,0,0,0.0138735795889188,4.32018502506034E-05,-4.55735197395866E-21,7.95694843336323E-16,1.49204001297108E-06,1.33949260428333E-20,4.24796588963239E-05,0,0,0,0,0,0,package://newtwo/meshes/L3_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/L3_3.STL,,简化单腿 - 副本-2/简化L5-1,坐标系17,基准轴15,L3_3J,revolute,0.06425,0.216,0,0,0,0,L3_2,1,0,0,100,3,-3,3,,,,,,,,
L3_4,0,5.55111512312578E-17,0,0,0,0,0.0075440111588203,3.02095717120803E-06,-3.64195899874766E-39,-6.56077007536035E-23,3.02095717120803E-06,-1.88079096131566E-37,3.02095717120802E-06,0,0,0,0,0,0,package://newtwo/meshes/L3_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/L3_4.STL,,简化单腿 - 副本-2/qiu1-1,坐标系24,,L3_4J,fixed,0.003,0.196,0,0,0,0,L3_3,0,0,0,,,,,,,,,,,,
R3_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/R3_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/R3_1.STL,,简化单腿-17/简化L1-1;简化单腿-17/简化L2-2,坐标系18,基准轴16,R3_1J,revolute,-0.1409,-0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
R3_2,0.0538046946845857,-0.0563990022332066,1.90730046426002E-06,0,0,0,0.0487708538022156,0.000299889172144509,3.69830518373724E-05,-1.2492752997421E-09,3.8845759766167E-05,1.00173051763404E-08,0.000297413215550289,0,0,0,0,0,0,package://newtwo/meshes/R3_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R3_2.STL,,简化单腿-17/简化L3-4,坐标系19,基准轴17,R3_2J,revolute,0,0,-0.06575,0,0,0,R3_1,1,0,0,100,3,-3,3,,,,,,,,
R3_3,0.00300000000002537,-0.0622516966511242,8.32667268468867E-17,0,0,0,0.0138735795889188,4.32018502506033E-05,1.62586269531289E-20,-7.95690761766413E-16,1.49204001297108E-06,1.32690673823778E-20,4.24796588963239E-05,0,0,0,0,0,0,package://newtwo/meshes/R3_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R3_3.STL,,简化单腿-17/简化L5-1,坐标系20,基准轴18,R3_3J,revolute,0.06425,-0.216,0,0,0,0,R3_2,1,0,0,100,3,-3,3,,,,,,,,
R3_4,0,-5.55111512312578E-17,0,0,0,0,0.00754401115882028,3.02095717120803E-06,-3.16239160156639E-37,1.62778416940039E-35,3.02095717120803E-06,2.35098870164458E-37,3.02095717120803E-06,0,0,0,0,0,0,package://newtwo/meshes/R3_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/R3_4.STL,,简化单腿-17/qiu1-1,坐标系27,,R3_4J,fixed,0.003,-0.196,0,0,0,0,R3_3,0,0,0,,,,,,,,,,,,
